name,stars,created_at,age_days,updated_at,days_since_update,language,merged_prs,releases,closed_issues,open_issues,total_issues,issue_close_ratio
codecrafters-io/build-your-own-x,468048,2018-05-09T12:03:18Z,2846,2026-02-22T22:04:20Z,0,Markdown,155,0,653,232,885,0.7379
sindresorhus/awesome,439826,2014-07-11T13:42:37Z,4244,2026-02-22T22:06:33Z,-1,N/A,693,0,347,16,363,0.9559
freeCodeCamp/freeCodeCamp,437420,2014-12-24T17:49:19Z,4078,2026-02-22T21:56:55Z,0,TypeScript,27635,0,20903,194,21097,0.9908
public-apis/public-apis,399604,2016-03-20T23:49:42Z,3625,2026-02-22T22:02:41Z,0,Python,1872,0,821,7,828,0.9915
EbookFoundation/free-programming-books,382941,2013-10-11T06:50:37Z,4517,2026-02-22T21:22:38Z,0,Python,7326,0,1225,36,1261,0.9715
kamranahmedse/developer-roadmap,349596,2017-03-15T13:45:52Z,3266,2026-02-22T22:00:38Z,0,TypeScript,4040,1,3046,25,3071,0.9919
jwasham/coding-interview-university,337320,2016-06-06T02:34:12Z,3548,2026-02-22T22:00:18Z,0,N/A,415,0,454,71,525,0.8648
donnemartin/system-design-primer,336221,2017-02-26T16:15:28Z,3283,2026-02-22T22:02:39Z,0,Python,203,0,110,248,358,0.3073
vinta/awesome-python,284100,2014-06-27T21:00:06Z,4258,2026-02-22T22:04:55Z,0,Python,635,0,0,0,0,0.0
996icu/996.ICU,275516,2019-03-26T07:31:14Z,2525,2026-02-22T15:13:31Z,0,N/A,1072,0,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,274597,2015-06-01T02:33:17Z,3919,2026-02-22T22:06:22Z,0,N/A,2395,1,807,0,807,1.0
practical-tutorials/project-based-learning,258924,2017-04-12T05:07:46Z,3238,2026-02-22T22:05:17Z,0,N/A,182,0,82,147,229,0.3581
facebook/react,243274,2013-05-24T16:15:54Z,4657,2026-02-22T21:57:43Z,0,JavaScript,12737,118,13559,810,14369,0.9436
openclaw/openclaw,218422,2025-11-24T10:16:47Z,90,2026-02-22T22:06:13Z,0,TypeScript,1834,49,6961,4088,11049,0.63
torvalds/linux,218269,2011-09-04T22:48:12Z,5284,2026-02-22T22:06:02Z,0,C,0,0,0,0,0,0.0
TheAlgorithms/Python,217972,2016-07-16T09:44:01Z,3508,2026-02-22T21:57:50Z,0,Python,3046,0,1540,162,1702,0.9048
vuejs/vue,209970,2013-07-29T03:24:51Z,4591,2026-02-22T17:36:55Z,0,TypeScript,1136,249,9668,359,10027,0.9642
trimstray/the-book-of-secret-knowledge,207331,2018-06-23T10:43:14Z,2801,2026-02-22T21:57:19Z,0,N/A,122,0,0,0,0,0.0
ossu/computer-science,201586,2014-05-04T00:18:39Z,4312,2026-02-22T20:16:48Z,0,HTML,303,0,652,13,665,0.9805
trekhleb/javascript-algorithms,195682,2018-03-24T07:47:04Z,2892,2026-02-22T22:01:12Z,0,JavaScript,304,0,233,138,371,0.628
tensorflow/tensorflow,193885,2015-11-07T01:19:20Z,3760,2026-02-22T20:51:59Z,0,C++,41898,220,40286,881,41167,0.9786
ohmyzsh/ohmyzsh,184924,2009-08-28T18:15:37Z,6022,2026-02-22T21:57:48Z,0,Shell,3504,0,4888,141,5029,0.972
getify/You-Dont-Know-JS,184454,2013-11-16T02:37:24Z,4481,2026-02-22T18:55:32Z,0,N/A,370,0,949,0,949,1.0
CyC2018/CS-Notes,183692,2018-02-13T14:56:24Z,2931,2026-02-22T19:36:10Z,0,N/A,374,0,449,128,577,0.7782
microsoft/vscode,181998,2015-09-03T20:23:38Z,3825,2026-02-22T21:57:07Z,0,TypeScript,42601,196,217451,12900,230351,0.944
Significant-Gravitas/AutoGPT,181934,2023-03-16T09:21:07Z,1074,2026-02-22T21:31:51Z,0,Python,3913,92,3495,231,3726,0.938
jackfrued/Python-100-Days,178828,2018-03-01T16:05:52Z,2915,2026-02-22T20:25:21Z,0,Jupyter Notebook,13,0,187,521,708,0.2641
n8n-io/n8n,175829,2019-06-22T09:24:21Z,2437,2026-02-22T21:59:24Z,0,TypeScript,13829,532,7572,503,8075,0.9377
flutter/flutter,175277,2015-03-06T22:54:58Z,4005,2026-02-22T20:06:17Z,0,Dart,46715,7,100042,12176,112218,0.8915
twbs/bootstrap,174012,2011-07-29T21:19:00Z,5322,2026-02-22T22:05:15Z,0,MDX,9108,94,22452,394,22846,0.9828
github/gitignore,172658,2010-11-08T20:17:14Z,5585,2026-02-22T21:57:49Z,0,N/A,1727,0,0,0,0,0.0
massgravel/Microsoft-Activation-Scripts,166660,2020-01-12T23:03:34Z,2232,2026-02-22T21:45:49Z,0,Batchfile,5,29,899,2,901,0.9978
avelino/awesome-go,165766,2014-07-06T13:42:15Z,4249,2026-02-22T21:49:27Z,0,Go,3569,0,711,12,723,0.9834
ollama/ollama,163145,2023-06-26T19:39:32Z,972,2026-02-22T22:00:40Z,0,Go,3033,182,7404,1931,9335,0.7931
AUTOMATIC1111/stable-diffusion-webui,160749,2022-08-22T14:05:26Z,1280,2026-02-22T21:34:29Z,0,Python,1882,27,5482,2396,7878,0.6959
jlevy/the-art-of-command-line,159989,2015-05-20T15:11:03Z,3931,2026-02-22T21:32:23Z,0,N/A,317,0,136,122,258,0.5271
huggingface/transformers,156825,2018-10-29T13:56:00Z,2673,2026-02-22T21:08:00Z,0,Python,18617,243,17522,1084,18606,0.9417
Snailclimb/JavaGuide,153829,2018-05-07T13:27:00Z,2848,2026-02-22T18:58:20Z,0,Java,1210,0,1056,74,1130,0.9345
DigitalPlatDev/FreeDomain,148614,2024-05-30T13:23:00Z,633,2026-02-22T21:54:03Z,0,HTML,1,0,0,0,0,0.0
airbnb/javascript,148103,2012-11-01T23:13:50Z,4860,2026-02-22T21:05:34Z,0,JavaScript,812,0,1299,100,1399,0.9285
yt-dlp/yt-dlp,148078,2020-10-26T04:22:55Z,1945,2026-02-22T22:03:36Z,0,Python,3224,130,9262,1793,11055,0.8378
f/prompts.chat,146648,2022-12-05T13:54:13Z,1175,2026-02-22T21:55:34Z,0,HTML,199,0,124,3,127,0.9764
langflow-ai/langflow,144969,2023-02-08T22:28:03Z,1109,2026-02-22T21:18:36Z,0,Python,5673,280,2799,348,3147,0.8894
521xueweihan/HelloGitHub,143547,2016-05-04T06:24:11Z,3581,2026-02-22T21:59:56Z,0,Python,17,62,2681,269,2950,0.9088
ytdl-org/youtube-dl,139707,2010-10-31T14:35:07Z,5593,2026-02-22T22:01:26Z,0,Python,1646,341,23188,3629,26817,0.8647
vercel/next.js,137907,2016-10-05T23:32:51Z,3426,2026-02-22T22:01:58Z,0,JavaScript,25933,1000,22226,2044,24270,0.9158
yangshun/tech-interview-handbook,137765,2016-07-05T05:00:48Z,3519,2026-02-22T21:11:11Z,0,TypeScript,486,0,76,43,119,0.6387
Genymobile/scrcpy,136001,2017-11-21T18:00:27Z,3015,2026-02-22T22:00:42Z,0,C,123,50,3284,2661,5945,0.5524
labuladong/fucking-algorithm,132748,2020-02-19T09:01:23Z,2195,2026-02-22T17:41:37Z,0,Markdown,243,1,960,0,960,1.0
golang/go,132696,2014-08-19T04:33:40Z,4205,2026-02-22T18:10:10Z,0,Go,1,0,60734,9467,70201,0.8651
microsoft/PowerToys,130008,2019-05-01T17:44:02Z,2489,2026-02-22T21:59:25Z,0,C#,6286,127,30011,8093,38104,0.7876
langgenius/dify,130003,2023-04-12T07:40:24Z,1047,2026-02-22T20:16:25Z,0,TypeScript,9497,158,16105,388,16493,0.9765
langchain-ai/langchain,127168,2022-10-17T02:58:36Z,1224,2026-02-22T21:40:22Z,0,Python,15999,1000,8855,228,9083,0.9749
Chalarangelo/30-seconds-of-code,126841,2017-11-29T17:35:03Z,3007,2026-02-22T20:12:58Z,0,JavaScript,835,12,300,0,300,1.0
facebook/react-native,125443,2015-01-09T18:10:16Z,4062,2026-02-22T21:10:18Z,0,C++,953,441,26821,743,27564,0.973
open-webui/open-webui,124603,2023-10-06T22:08:27Z,869,2026-02-22T22:03:35Z,0,Python,3235,147,7497,175,7672,0.9772
krahets/hello-algo,122381,2022-11-04T11:08:34Z,1206,2026-02-22T21:11:52Z,0,Java,968,10,274,8,282,0.9716
kubernetes/kubernetes,120719,2014-06-06T22:56:04Z,4278,2026-02-22T18:51:18Z,0,Go,63866,779,46721,1847,48568,0.962
electron/electron,120191,2013-04-12T01:47:36Z,4699,2026-02-22T21:19:15Z,0,C++,24390,1000,20710,747,21457,0.9652
ripienaar/free-for-dev,118116,2015-03-18T21:06:26Z,3994,2026-02-22T21:02:57Z,0,HTML,2882,0,0,0,0,0.0
x1xhlol/system-prompts-and-models-of-ai-tools,117532,2025-03-05T16:38:29Z,354,2026-02-22T22:06:47Z,0,N/A,45,0,102,78,180,0.5667
excalidraw/excalidraw,117301,2020-01-02T01:04:43Z,2243,2026-02-22T21:05:42Z,0,TypeScript,3828,14,2535,2087,4622,0.5485
justjavac/free-programming-books-zh_CN,116338,2013-11-04T01:59:19Z,4493,2026-02-22T17:15:29Z,0,N/A,282,3,0,0,0,0.0
nodejs/node,115900,2014-11-26T19:57:11Z,4106,2026-02-22T21:57:47Z,0,JavaScript,11809,481,18296,1753,20049,0.9126
d3/d3,112396,2010-09-27T17:22:42Z,5627,2026-02-22T20:26:08Z,0,Shell,494,194,2229,10,2239,0.9955
iptv-org/iptv,111894,2018-11-14T22:00:57Z,2657,2026-02-22T21:25:55Z,0,TypeScript,6801,0,21076,336,21412,0.9843
mrdoob/three.js,111035,2010-03-23T18:58:01Z,5815,2026-02-22T21:44:04Z,0,JavaScript,15186,175,13046,441,13487,0.9673
rust-lang/rust,110615,2010-06-16T20:39:03Z,5730,2026-02-22T21:52:03Z,0,Rust,69309,146,50359,11111,61470,0.8192
axios/axios,108620,2014-08-18T22:30:27Z,4205,2026-02-22T21:57:53Z,0,JavaScript,1125,108,4753,199,4952,0.9598
anomalyco/opencode,108577,2025-04-30T20:08:00Z,298,2026-02-22T22:05:38Z,0,TypeScript,2456,720,4758,4147,8905,0.5343
rustdesk/rustdesk,107915,2020-09-28T15:36:08Z,1973,2026-02-22T21:29:05Z,0,Rust,3920,35,3919,68,3987,0.9829
microsoft/TypeScript,107905,2014-06-17T15:28:39Z,4268,2026-02-22T21:57:47Z,0,TypeScript,14848,214,37978,4968,42946,0.8843
Hack-with-Github/Awesome-Hacking,107137,2016-03-30T15:47:10Z,3616,2026-02-22T20:28:34Z,0,N/A,34,0,0,0,0,0.0
shadcn-ui/ui,107083,2023-01-04T12:43:27Z,1145,2026-02-22T21:57:51Z,0,TypeScript,994,75,2921,989,3910,0.7471
godotengine/godot,106963,2014-01-04T16:05:36Z,4432,2026-02-22T21:30:24Z,0,C++,41256,66,48142,12955,61097,0.788
microsoft/generative-ai-for-beginners,106807,2023-06-19T16:28:59Z,979,2026-02-22T21:48:38Z,0,Jupyter Notebook,521,0,201,4,205,0.9805
denoland/deno,106277,2018-05-15T01:34:26Z,2840,2026-02-22T20:02:17Z,0,Rust,14156,363,11472,2442,13914,0.8245
GrowingGit/GitHub-Chinese-Top-Charts,106256,2019-09-05T03:01:56Z,2362,2026-02-22T19:19:16Z,0,Java,0,0,162,181,343,0.4723
