name,stars,created_at,age_days,pushed_at,days_since_push,language,merged_prs,releases,closed_issues,open_issues,total_issues,issue_close_ratio
codecrafters-io/build-your-own-x,474263,2018-05-09T12:03:18Z,2863,2026-02-21T09:34:54Z,18,Markdown,155,0,653,236,889,0.7345
sindresorhus/awesome,444813,2014-07-11T13:42:37Z,4261,2026-03-09T07:59:57Z,2,N/A,694,0,350,16,366,0.9563
freeCodeCamp/freeCodeCamp,438081,2014-12-24T17:49:19Z,4095,2026-03-12T01:51:17Z,0,TypeScript,27827,0,21009,163,21172,0.9923
public-apis/public-apis,407389,2016-03-20T23:49:42Z,3643,2026-02-19T15:14:35Z,20,Python,1872,0,832,8,840,0.9905
EbookFoundation/free-programming-books,383963,2013-10-11T06:50:37Z,4534,2026-03-12T00:48:42Z,0,Python,7337,0,1228,36,1264,0.9715
kamranahmedse/developer-roadmap,350778,2017-03-15T13:45:52Z,3283,2026-03-11T13:06:09Z,0,TypeScript,4091,1,3083,6,3089,0.9981
donnemartin/system-design-primer,338543,2017-02-26T16:15:28Z,3300,2026-03-12T01:13:46Z,0,Python,208,0,116,244,360,0.3222
jwasham/coding-interview-university,337825,2016-06-06T02:34:12Z,3566,2025-08-28T14:42:47Z,195,N/A,415,0,454,72,526,0.8631
openclaw/openclaw,304320,2025-11-24T10:16:47Z,107,2026-03-12T02:40:36Z,0,TypeScript,3074,63,10896,6892,17788,0.6125
vinta/awesome-python,286760,2014-06-27T21:00:06Z,4275,2026-03-11T06:55:02Z,0,Python,642,0,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,279456,2015-06-01T02:33:17Z,3937,2026-03-11T23:32:52Z,0,N/A,2395,1,807,0,807,1.0
996icu/996.ICU,275738,2019-03-26T07:31:14Z,2542,2025-08-22T06:01:29Z,201,N/A,1072,0,0,0,0,0.0
practical-tutorials/project-based-learning,260839,2017-04-12T05:07:46Z,3255,2024-08-15T05:33:54Z,573,N/A,182,0,82,145,227,0.3612
facebook/react,243919,2013-05-24T16:15:54Z,4674,2026-03-11T20:45:31Z,0,JavaScript,12776,118,13585,812,14397,0.9436
torvalds/linux,222332,2011-09-04T22:48:12Z,5302,2026-03-11T16:34:35Z,0,C,0,0,0,0,0,0.0
TheAlgorithms/Python,218594,2016-07-16T09:44:01Z,3525,2026-03-11T07:56:30Z,0,Python,3066,0,1540,165,1705,0.9032
vuejs/vue,210037,2013-07-29T03:24:51Z,4608,2024-10-10T07:24:15Z,517,TypeScript,1136,249,9669,359,10028,0.9642
