file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo,selectLanguage/1[java.util.Scanner],false,211,1,1,1,0,4,12,17,1,1,1,12,0,0,2,0,0,0,6,2,1,0,2,0,0,0,14,10,0,false
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo,"translateFile/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",false,271,2,3,1,2,3,16,23,1,8,3,16,2,1,1,0,1,1,4,3,8,2,2,0,0,0,23,10,0,false
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo,main/1[java.lang.String[]],false,65,4,7,0,7,14,33,110,4,17,1,33,7,2,3,0,2,2,58,12,20,26,3,0,0,0,75,9,0,false
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo,"splitContent/2[java.lang.String,int]",false,306,0,1,1,0,7,8,19,1,3,2,8,0,0,1,0,0,0,3,2,5,1,2,0,0,0,14,10,0,false
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo,findMarkdownFiles/1[java.nio.file.Path],false,231,0,1,1,0,3,9,13,1,4,1,9,0,0,0,0,0,0,3,0,3,0,1,0,0,1,12,10,0,false
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo,loadProgress/1[java.nio.file.Path],false,362,2,2,1,1,3,4,13,2,3,1,4,0,0,0,0,1,0,0,0,3,0,2,0,0,0,22,10,0,false
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo,"saveProgress/2[java.nio.file.Path,TranslateRepo.TranslationProgress]",false,376,3,1,1,0,2,7,11,0,3,2,7,0,0,0,0,1,0,1,0,3,1,1,0,0,0,23,10,0,false
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo,printHeader/0,false,204,0,1,1,0,1,3,6,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,4,10,0,false
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo,(initializer 1),false,25,1,1,0,1,1,1,22,0,0,0,1,0,0,0,0,0,0,80,0,0,0,0,0,0,0,2,8,0,false
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo,"getOutputPath/3[java.nio.file.Path,java.nio.file.Path,java.lang.String]",false,252,0,1,1,0,2,9,11,2,5,3,9,0,0,0,0,0,0,7,2,5,4,1,0,0,0,12,10,0,false
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo,"translateText/2[java.lang.String,java.lang.String]",false,331,1,1,1,0,3,15,22,1,11,2,15,0,0,2,1,0,1,5,3,11,1,1,0,0,0,40,10,0,false
C:\Users\Samuel\AppData\Local\Temp\lab02_yb0n9sxs\Snailclimb__JavaGuide\TranslateRepo.java,TranslateRepo$Language,"Language/3[java.lang.String,java.lang.String,java.lang.String]",true,53,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,false
